BR01-ALS	ALS-on_BR01_2019-07-05_300m	12531758	12504511	5380805
BR02-ALS	ALS-on_BR02_2019-07-05_200m	5469363	5452383	2244994
BR03-ALS	ALS-on_BR03_2019-07-05_300m	12284905	12231654	6264253
BR04-ALS	ALS-on_BR04_2019-07-05_140m	2638216	2625729	1207650
BR05-ALS	ALS-on_BR05_2019-07-05_300m	13401630	13355278	5898786
BR06-ALS	ALS-on_BR06_2019-07-05_200m	6269955	6261724	2265152
BR07-ALS	ALS-on_BR07_2019-07-05_140m	3196739	3179689	1485584
BR08-ALS	ALS-on_BR08_2019-07-05_140m	2871871	2854955	1432741
KA09-ALS	ALS-on_KA09_2019-07-05_300m	14536939	14531495	6574366
KA10-ALS	ALS-on_KA10_2019-07-05_300m	13413120	13396658	6611872
KA11-ALS	ALS-on_KA11_2019-07-05_300m	14840932	14830163	7193771
SP02-ALS	ALS-on_SP02_2019-07-05_140m	2810265	2799533	1326886
BR01-ULS-1	ULS-off_BR01_2019-12-04	52179533	52146485	21454777
BR01-ULS-2	ULS-off_BR01_2020-03-27	62548947	62504831	23143124
BR02-ULS-1	ULS-off_BR02_2020-04-01	76639411	76562491	29516882
BR03-ULS-1	ULS-off_BR03_2020-03-31	63391431	63303160	28182668
BR05-ULS-1	ULS-off_BR05_2020-03-26	52169435	52117995	21483555
BR06-ULS-1	ULS-off_BR06_2020-03-27	60182129	60115839	20478704
BR07-ULS-1	ULS-off_BR07_2020-03-26	57159079	57091559	26186466
BR08-ULS	ULS-off_BR08_2020-03-31	66483369	66433040	26873864
KA09-ULS-1	ULS-off_KA09_2019-12-10	59967504	59863457	22675116
SP02-ULS-1	ULS-off_SP02_2020-04-01	64818104	64784916	23432531
BR01-ULS-3	ULS-on_BR01_2019-09-12	39420629	39323345	18779424
BR02-ULS-2	ULS-on_BR02_2019-08-24	41555427	41416491	19723069
BR03-ULS-2	ULS-on_BR0308_2019-08-24	83344946	83175989	37389042
BR05-ULS-2	ULS-on_BR05_2019-09-12	50247658	49963353	22930728
BR06-ULS-2	ULS-on_BR06_2019-09-12	48369613	48156311	19670848
BR07-ULS-2	ULS-on_BR07_2019-08-24	46833772	46696161	18257769
KA09-ULS-2	ULS-on_KA09_2019-09-13	50863340	50716258	22022669
KA10-ULS	ULS-on_KA10_2019-09-13	48167924	48020812	23068621
KA11-ULS	ULS-on_KA11_2019-09-06	58549518	58446138	26664882
SP02-ULS-2	ULS-on_SP02_2019-09-03	30811866	30753803	12805708